ERA Code,ERA Acronym,ERA Conference Name,Acronym (DBLP),Conference Name (DBLP),ICORE 2023 Rank,CORE 2021 Rank,DBLP Link,DBLP URL,Comment
42278,CSCW,ACM Conference on Computer-Supported Cooperative Work & Social Computing - proceedings now published in journal - Proceedings of the ACM on Human-Computer Interaction,CSCW,Conference on Computer Supported Cooperative Work,A,A,View,https://dblp.uni-trier.de/db/conf/cscw/index.html,"Since 2018, proceedings of the conference are published in the journal Proceedings of the ACM on Human-Computer Interaction.  Will be removed from Quality Conference List at next major update."
42285,OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming Systems, Languages, and Applications",A,A,View,https://dblp.uni-trier.de/db/conf/oopsla,"Reranked to A from A* in CORE 2021 ranking. Since 2017, proceedings of this conference are published as articles of the journal Proceedings of the ACM on Programming Languages.  Will be removed from Quality Conference List at next major update.  "
42307,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques - proceedings now published in journal - ACM Transactions on Graphics,SIGGRAPH,International Conference on Computer Graphics and Interactive Techniques,A*,A*,View,https://dblp.uni-trier.de/db/conf/siggraph,Main track technical papers of this conference have been published in journal ACM Transactions on Graphics since 2002.  Will be removed from Quality Conference List at next major update.  Included in ARWU 2021 top conferences list.
42308,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance - proceedings now published in journal - Proceedings of the ACM on Measurement and Analysis of Computing Systems,SIGMETRICS,Measurement and Modeling of Computer Systems,A*,A*,View,https://dblp.uni-trier.de/db/conf/sigmetrics,"Since 2017, proceedings of this conference are published in journal Proceedings of the ACM on Measurement and Analysis of Computing Systems.  Will be removed from Quality Conference List at next major update."
42311,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,Symposium on Computer Animation,B,B,View,https://dblp.uni-trier.de/db/conf/sca,~Met objective criteria as at Jan 2020.  Full papers are now being published in the journal Proceedings of the ACM on Computer Graphics and Interactive Techniques.  Will be removed from Quality Conference List at next major update.
42354,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,POPL,ACM-SIGACT Symposium on Principles of Programming Languages,A*,A*,View,https://dblp.uni-trier.de/db/conf/popl,"Since 2018, proceedings of this conference are published in Proceedings of the ACM on Programming Languages"
42917,IEEE InfoVis,IEEE Information Visualization Conference - now published in journal - IEEE Transactions on Visualization and Computer Graphics,IEEE VIS,IEEE Information Visualization Conference,A,A,View,https://dblp1.uni-trier.de/db/conf/infovis/index.html,Full papers of this conference have been published in journal IEEE Transactions on Visualization and Computer Graphics since 2006.  Will be removed from Quality Conference List at next major update.  
43005,ISWC,International Symposium on Wearable Computers,ISWC,IEEE International Symposium on Wearable Computers,Journal Published,Journal Published,View,https://dblp1.uni-trier.de/db/conf/iswc/index.html,"Reranked to ""Journal Published"" from A* in CORE 2021 ranking.  Proceedings of this conference have been published in journal Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies since 2017.  Will be removed from Quality Conference List at next major update.  "
43361,ICFP,International Conference on Functional Programming - proceedings now published in journal - Proceedings of the ACM on Programming Languages,ICFP,ACM SIGPLAN International Conference on Functional Programming,A,A,View,https://dblp.uni-trier.de/db/conf/icfp,"Reranked to A from A* in CORE 2021 ranking. Since 2017, proceedings of this conference are published as articles of journal Proceedings of the ACM on Programming Languages.  Will be removed from Quality Conference List at next major update.  "
43775,FSE,Fast Software Encryption (FSE) - proceedings now published in journal - IACR Transactions on Symmetric Cryptology,FSE,Fast Software Encryption Workshop,Journal Published,B,View,https://dblp.uni-trier.de/db/conf/fse/index.html,"Since 2017, proceedings of this conference are published in journal IACR Transactions on Symmetric Cryptology.  Will be removed from Quality Conference List at next major update."
44132,UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing (merger of Pervasive & UbiComp),UbiComp,Ubiquitous Computing,Journal Published,Journal Published,View,https://dblp.uni-trier.de/db/conf/huc/,"Reranked to ""Journal Published"" from A* in CORE 2021 ranking.  Proceedings of this conference have been published in journal Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies since 2017.  Will be removed from Quality Conference List at next major update.  "
44204,CHES,Conference on Cryptographic Hardware and Embedded Systems (CHES),CHES,Workshop on Cryptographic Hardware and Embedded Systems,A,A,View,https://dblp.uni-trier.de/db/conf/ches/,Now published in journal Transactions on Cryptographic Hardware and Embedded Systems (TCHES).  Will be removed from Quality Conference List at next major update.
50204,ISS,ACM International Conference on Interactive Surfaces and Spaces (previously ACM International Conference on Interactive Tabletops and Surfaces),ISS,ACM International Conference on Interactive Surfaces and Spaces,Journal Published,Journal Published,View,https://dblp.uni-trier.de/db/conf/tabletop/,"Reranked to ""Journal Published"" from A* in CORE 2021 ranking.  Proceedings of this conference have been published in journal Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies since 2020.  Will be removed from Quality Conference List at next major update.  "
N76424,CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHI PLAY),CHI-PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,Journal Published,Journal Published,View,https://dblp.org/db/conf/chiplay/,"Since 2021, proceedings of the conference are published in the journal Proceedings of the ACM on Human-Computer Interaction.  Will be removed from Quality Conference List at next major update."